employee_id,date,clock_in,clock_out
1001,2026-05-11,08:55,17:05
1001,2026-05-12,09:02,17:10
1001,2026-05-13,08:50,16:55
1001,2026-05-14,09:00,17:00
1001,2026-05-15,08:48,15:30
1002,2026-05-11,09:10,18:00
1002,2026-05-12,09:05,17:55
1002,2026-05-14,08:58,17:45
1002,2026-05-15,09:15,17:30
1003,2026-05-11,08:30,16:45
1003,2026-05-12,08:25,16:50
1003,2026-05-13,08:35,16:40
1003,2026-05-14,08:30,16:45
1003,2026-05-15,08:40,16:50
1004,2026-05-12,09:30,18:30
1004,2026-05-13,09:25,18:25
1004,2026-05-14,09:35,18:35
1005,2026-05-11,08:00,16:00
1005,2026-05-12,08:05,16:10
1005,2026-05-13,07:58,16:05
1005,2026-05-14,08:02,16:00
1005,2026-05-15,08:00,12:30
